State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Andhra Pradesh,Factories,"Payment of Wages Act, 1936",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Minimum Wages Act, 1948",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"THE ANDHRA PRADESH SHOPS AND ESTABLISHMENTS ACT, 1988",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"The Andhra Pradesh Tax on Professions, Trades, Callings and Employments Act, 1987",Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month
Andhra Pradesh,Factories,"Andhra Pradesh Labour Welfare Fund Act, 1987",Annual return by 31-Jan,,,,,,,,,,,
Andhra Pradesh,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Andhra Pradesh,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Andhra Pradesh,Factories,"Maternity Benefit Act, 1961",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Payment of Bonus Act, 1965",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Payment of Gratuity Act, 1972",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,The Combined Annual Return by 30-Jun,,,,,,
Andhra Pradesh,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Andhra Pradesh,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Andhra Pradesh,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Andhra Pradesh,Factories,"The Inter-State Migrant Workmen Act, 1979",,,,,,The Combined Annual Return by 30-Jun,,,,,,
