State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Assam,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Assam,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Assam,Factories,"The Assam Shops and Establishments Act, 1971",Annual return by 31-Jan,,,,,,,,,,,
Assam,Factories,"The Assam Professions, Trades, Callings and Employments Taxation Act, 1947",Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month,Monthly return by last day of month
Assam,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Assam,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Assam,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Assam,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Assam,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Assam,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Assam,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Assam,Factories,"Building and Other Construction Workers’ Act, 1996",,,,,Annual return by 15-May,,,,,,,
Assam,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Assam,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Assam,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Assam,Factories,"The Inter-State Migrant Workmen Act, 1979",,,,,,,,,,,,
