State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chandigarh,Factories,"Payment of Wages Act, 1936",,Combined Annual Return by 01-Feb,,,,,,,,,,
Chandigarh,Factories,"Minimum Wages Act, 1948",,Combined Annual Return by 01-Feb,,,,,,,,,,
Chandigarh,Factories,"The Punjab Shops and Commercial Establishments Act, 1958 [PU",,Combined Annual Return by 01-Feb,,,,,,,,,,
Chandigarh,Factories,"THE  PUNJAB  LABOUR  WELFARE  FUND  ACT,  1965.",,,,Half-yearly return by 15-Apr,,,,,,Half-yearly return by 15-Oct,,
Chandigarh,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Chandigarh,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Chandigarh,Factories,"Maternity Benefit Act, 1961",,Combined Annual Return by 01-Feb,,,,,,,,,,
Chandigarh,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Chandigarh,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Chandigarh,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Combined Annual Return by 01-Feb,,,,,,,,,,
Chandigarh,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Chandigarh,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Chandigarh,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Chandigarh,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Chandigarh,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
