State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Delhi (NCT),Factories,"Payment of Wages Act, 1936",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"Minimum Wages Act, 1948",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"The Delhi Shops and Establishments Act, 1954",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"LWF(The Bombay Labour Welfare Fund Act, 1953 as extended to NCT of Delhi)",Half-yearly return by 31-Jan,,,,,,Half-yearly return by 31-Jul,,,,,
Delhi (NCT),Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Delhi (NCT),Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Delhi (NCT),Factories,"Maternity Benefit Act, 1961",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"Payment of Bonus Act, 1965",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Delhi (NCT),Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Delhi (NCT),Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Delhi (NCT),Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Delhi (NCT),Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Delhi (NCT),Factories,"The Inter-State Migrant Workmen Act, 1979",,,Combined Annual Return by 31-Mar,,,,,,,,,
