State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jammu and Kashmir,Factories,"Payment of Wages Act, 1936",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Minimum Wages Act, 1948",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"The Jammu and Kashmir Shops and Establishments Act, 1963",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Jammu and Kashmir,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Jammu and Kashmir,Factories,"Maternity Benefit Act, 1961",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Payment of Bonus Act, 1965",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Payment of Gratuity Act, 1972",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
Jammu and Kashmir,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Jammu and Kashmir,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Jammu and Kashmir,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Jammu and Kashmir,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Jammu and Kashmir,Factories,"The Inter-State Migrant Workmen Act, 1979",,,Single Annual Consolidated Return by 30-Mar,,,,,,,,,
