State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jharkhand,Factories,"Payment of Wages Act, 1936",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"Minimum Wages Act, 1948",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"The Bihar Shops and Establishments Act, 1953",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"The Jharkhand Tax On Profession, Trades, Callings And Employments Act, 2011",,,,,,,,,,Annual return by 31-Oct,,
Jharkhand,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Jharkhand,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Jharkhand,Factories,"Maternity Benefit Act, 1961",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"Payment of Bonus Act, 1965",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"Payment of Gratuity Act, 1972",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,Integrated Online Return System by 31-Mar,,,,,,,,,
Jharkhand,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Jharkhand,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Jharkhand,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Jharkhand,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Jharkhand,Factories,"The Inter-State Migrant Workmen Act, 1979",,,Integrated Online Return System by 31-Mar,,,,,,,,,
