State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Karnataka,Factories,"Payment of Wages Act, 1936",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Minimum Wages Act, 1948",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,The Karnataka Shops and Commercial Establishments Act 1961,Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"The Karnataka Tax on Profession, Trades, Callings and Employments Act,1976 A",,,,,Annual return by 30-May,,,,,,,
Karnataka,Factories,"The Karnataka Labour Welfare Fund Act, 1965",Annual statement of contributions by 15-Jan and annual extract of the register by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Karnataka,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Karnataka,Factories,"Maternity Benefit Act, 1961",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Payment of Bonus Act, 1965",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Payment of Gratuity Act, 1972",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Combined Annual Return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Karnataka,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Karnataka,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Karnataka,Factories,"The Inter-State Migrant Workmen Act, 1979",Combined Annual Return by 31-Jan,,,,,,,,,,,
