State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kerala,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Kerala,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Kerala,Factories,"the Kerala Shops and Commercial Establishments Act, 1960",Annual return by 31-Jan,,,,,,,,,,,
Kerala,Factories,"The Kerala Panchayat Raj (Profession Tax) Rules, 1996",,Half-yearly return by 29-Feb,,,,,,Half-yearly return by 31-Aug,,,,
Kerala,Factories,"The Kerala Shops And Commercial Establishments Workers Welfare Fund Act,2006",Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month,Monthly return by 5th of month
Kerala,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Kerala,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Kerala,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Kerala,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Kerala,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Kerala,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Kerala,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Kerala,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Kerala,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Kerala,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Kerala,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
