State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Manipur,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Manipur,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Manipur,Factories,"The Manipur Shops and Establishments Act, 2021",Annual return by 31-Jan,,,,,,,,,,,
Manipur,Factories,"The Manipur Professions, Trades, Callings And Employments Taxation Act, 1981",,,Annual return by 30-Mar,,,,,,,,,
Manipur,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Manipur,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Manipur,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Manipur,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Manipur,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Manipur,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Manipur,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Manipur,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Manipur,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Manipur,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Manipur,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
