State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Meghalaya,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Meghalaya,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Meghalaya,Factories,"the Meghalaya Shops and Establishment Act, 2004",Annual return by 31-Jan,,,,,,,,,,,
Meghalaya,Factories,"The Meghalaya Professions, Trades, Callings And Employments Taxation Act, 1947",Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month,Monthly return by 28th of month
Meghalaya,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Meghalaya,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Meghalaya,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Meghalaya,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Meghalaya,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Meghalaya,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Meghalaya,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Meghalaya,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Meghalaya,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Meghalaya,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Meghalaya,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
