State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Punjab,Factories,"Payment of Wages Act, 1936",Combined Annual Return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"Minimum Wages Act, 1948",Combined Annual Return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"The Punjab Shops and Commercial Establishments Act, 1958",Combined Annual Return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"Professional Tax(The Punjab State Development Tax Act,    2018)",,,,Annual return by 30-Apr,,,,,,,,
Punjab,Factories,"The Punjab Labour Welfare Fund Act,1965",Half-yearly return by 15-Jan,,,,,,Half-yearly return by 15-Jul,,,,,
Punjab,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Punjab,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Punjab,Factories,"Maternity Benefit Act, 1961",Combined Annual Return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Punjab,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Punjab,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Combined Annual Return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Punjab,Factories,"Building and Other Construction Workers’ Act, 1996",,,,,Annual return by 15-May,,,,,,,
Punjab,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Punjab,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Punjab,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Punjab,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
