State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rajasthan,Factories,"Payment of Wages Act, 1936",Single Integrated Online Return by 30-Jan,,,,,,,,,,,
Rajasthan,Factories,"Minimum Wages Act, 1948",Single Integrated Online Return by 30-Jan,,,,,,,,,,,
Rajasthan,Factories,"The Rajasthan Shops and Commercial Establishments Act, 1958",Single Integrated Online Return by 30-Jan,,,,,,,,,,,
Rajasthan,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Rajasthan,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Rajasthan,Factories,"Maternity Benefit Act, 1961",Single Integrated Online Return by 30-Jan,,,,,,,,,,,
Rajasthan,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Rajasthan,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Rajasthan,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Single Integrated Online Return by 30-Jan,,,,,,,,,,,
Rajasthan,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Rajasthan,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Rajasthan,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Rajasthan,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Rajasthan,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
