State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sikkim,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Sikkim,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Sikkim,Factories,"the Sikkim Shops and Commercial Establishments Act, 1983",Annual return by 31-Jan,,,,,,,,,,,
Sikkim,Factories,"The Sikkim Tax on Professions, Trades, Callings and Employments Act, 2006",Quarterly return by 31-Jan,,,Quarterly return by 30-Apr,,,Quarterly return by 31-Jul,,,Quarterly return by 31-Oct,,
Sikkim,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Sikkim,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Sikkim,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Sikkim,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Sikkim,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Sikkim,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Sikkim,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Sikkim,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Sikkim,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Sikkim,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Sikkim,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
