State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Telangana,Factories,"Payment of Wages Act, 1936",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Minimum Wages Act, 1948",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"THE TELANGANA SHOPS AND ESTABLISHMENTS ACT, 1988",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Professional Tax (The Andhra Pradesh Tax on Professions, Trades, Callings and Employments Act, 1987)",Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month,Monthly return by 10th of month
Telangana,Factories,"The Telangana Labour Welfare Fund Act, 1987",Annual return by 31-Jan,,,,,,,,,,,
Telangana,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Telangana,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Telangana,Factories,"Maternity Benefit Act, 1961",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Payment of Bonus Act, 1965",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Payment of Gratuity Act, 1972",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,,Integrated Annual Return by 30-Apr,,,,,,,,
Telangana,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Telangana,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Telangana,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Telangana,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Telangana,Factories,"The Inter-State Migrant Workmen Act, 1979",,,,Integrated Annual Return by 30-Apr,,,,,,,,
