State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Uttarakhand,Factories,"Payment of Wages Act, 1936",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"Minimum Wages Act, 1948",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"Uttarakhand S&E Act (Uttarakhand Dookan Aur Sthaapan Adhiniyam,2017)",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Uttarakhand,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Uttarakhand,Factories,"Maternity Benefit Act, 1961",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"Payment of Bonus Act, 1965",,,,,,,,,,,,Annual return by 30-Dec
Uttarakhand,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Uttarakhand,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Uttarakhand,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Uttarakhand,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Uttarakhand,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
