State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
West Bengal,Factories,"Payment of Wages Act, 1936",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Minimum Wages Act, 1948",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"The West Bengal Shops and Establishments Act, 1963",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"The West Bengal State Tax on Professions, Trades, Callings and Employments Act, 1979",,,,,Annual return by 15-May,,,,,,,
West Bengal,Factories,"The West Bengal Labour Welfare Fund Act, 1974",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
West Bengal,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
West Bengal,Factories,"Maternity Benefit Act, 1961",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Payment of Bonus Act, 1965",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Payment of Gratuity Act, 1972",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",Single Integrated Return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
West Bengal,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
West Bengal,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
