State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Andaman and Nicobar Islands,Shops & Establishments,"Payment of Wages Act, 1936",,,Combined Annual Return by 31-Mar,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Minimum Wages Act, 1948",,,Combined Annual Return by 31-Mar,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"The Andaman and Nicobar Islands Shops and Establishments Regulation, 1962",,,Combined Annual Return by 31-Mar,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Andaman and Nicobar Islands,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Andaman and Nicobar Islands,Shops & Establishments,"Maternity Benefit Act, 1961",,,Combined Annual Return by 31-Mar,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,,Combined Annual Return by 31-Mar,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Andaman and Nicobar Islands,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Andaman and Nicobar Islands,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
