State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bihar,Shops & Establishments,"Payment of Wages Act, 1936",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"Minimum Wages Act, 1948",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"The Bihar Shops and Establishments Act, 1953",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"The Bihar Tax on Professions, Trades, Callings and Employments Act, 2011",,,,,,,,,,,Annual return by 30-Nov,
Bihar,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Bihar,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Bihar,Shops & Establishments,"Maternity Benefit Act, 1961",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Bihar,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Bihar,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
Bihar,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Bihar,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Bihar,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Bihar,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",,,,,,Consolidated Online Annual Return by 30-Jun,,,,,,
