State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Delhi (NCT),Shops & Establishments,"Payment of Wages Act, 1936",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"Minimum Wages Act, 1948",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"The Delhi Shops and Establishments Act, 1954",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"LWF(The Bombay Labour Welfare Fund Act, 1953 as extended to NCT of Delhi)",Half-yearly return by 31-Jan,,,,,,Half-yearly return by 31-Jul,,,,,
Delhi (NCT),Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Delhi (NCT),Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Delhi (NCT),Shops & Establishments,"Maternity Benefit Act, 1961",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"Payment of Bonus Act, 1965",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Delhi (NCT),Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,,Combined Annual Return by 31-Mar,,,,,,,,,
Delhi (NCT),Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Delhi (NCT),Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Delhi (NCT),Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Delhi (NCT),Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Delhi (NCT),Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",,,Combined Annual Return by 31-Mar,,,,,,,,,
