State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Haryana,Shops & Establishments,"Payment of Wages Act, 1936",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Minimum Wages Act, 1948",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"The Punjab Shops and Establishments Act, 1958",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"The Punjab Labour Welfare Fund Act, 1965",Annual return by 31-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Haryana,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Haryana,Shops & Establishments,"Maternity Benefit Act, 1961",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Payment of Bonus Act, 1965",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Payment of Gratuity Act, 1972",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Haryana,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Haryana,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Haryana,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Single Integrated Annual Return by 30-Jan,,,,,,,,,,,
