State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Maharashtra,Shops & Establishments,"Payment of Wages Act, 1936",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Minimum Wages Act, 1948",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"The Maharashtra Shops and Establishments Act, 2017",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"The Maharashtra State Tax on Professions, Trades, Callings and Employments Act, 1975",,,Annual return by 31-Mar,,,,,,,,,
Maharashtra,Shops & Establishments,"The Maharashtra Labour Welfare Fund Act, 1953",Half-yearly return by 15-Jan,,,,,,Half-yearly return by 15-Jul,,,,,
Maharashtra,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Maharashtra,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Maharashtra,Shops & Establishments,"Maternity Benefit Act, 1961",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Payment of Bonus Act, 1965",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,Maharashtra Combined Annual Return by 30-Apr,,Maharashtra Combined Annual Return by 30-Apr,,,,,,
Maharashtra,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Maharashtra,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Maharashtra,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
Maharashtra,Shops & Establishments,"Maharashtra Workmen Minimum House Rent Act, 1983",,,,Maharashtra Combined Annual Return by 30-Apr,,,,,,,,
