State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Puducherry,Shops & Establishments,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Puducherry,Shops & Establishments,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Puducherry,Shops & Establishments,"the Puducherry Shops and Establishments Act, 1964",,,,Annual return by 30-Apr,,,,,,,,
Puducherry,Shops & Establishments,"Professional Tax(The Puducherry Village And Commune Panchayats Act, 1973, The Puducherry Municipalities Act, 1973)",,,,,,Half-yearly return by 30-Jun,,,,,,Half-yearly return by 31-Dec
Puducherry,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Puducherry,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Puducherry,Shops & Establishments,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Puducherry,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Puducherry,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Puducherry,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Puducherry,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Puducherry,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Puducherry,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Puducherry,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Puducherry,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
