State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sikkim,Shops & Establishments,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Sikkim,Shops & Establishments,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Sikkim,Shops & Establishments,"the Sikkim Shops and Commercial Establishments Act, 1983",Annual return by 31-Jan,,,,,,,,,,,
Sikkim,Shops & Establishments,"The Sikkim Tax on Professions, Trades, Callings and Employments Act, 2006",Quarterly return by 31-Jan,,,Quarterly return by 30-Apr,,,Quarterly return by 31-Jul,,,Quarterly return by 31-Oct,,
Sikkim,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Sikkim,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Sikkim,Shops & Establishments,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Sikkim,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Sikkim,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Sikkim,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Sikkim,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Sikkim,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Sikkim,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Sikkim,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Sikkim,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
