State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Uttarakhand,Shops & Establishments,"Payment of Wages Act, 1936",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Minimum Wages Act, 1948",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Uttarakhand S&E Act (Uttarakhand Dookan Aur Sthaapan Adhiniyam,2017)",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Uttarakhand,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Uttarakhand,Shops & Establishments,"Maternity Benefit Act, 1961",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Payment of Bonus Act, 1965",,,,,,,,,,,,Annual return by 30-Dec
Uttarakhand,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",Combined Annual Return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Uttarakhand,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Uttarakhand,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Uttarakhand,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
